5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
1/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]
3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]

5/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
1/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]
3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

4/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]

5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]
1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

0/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
4/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]

0/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
4/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

1/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]

0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]
4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]

5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
1/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]

3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
1/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]

3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
4/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]

0/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]

1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
0/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
4/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
4/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
1/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]
4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
1/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]
3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
1/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]
3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
4/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]
1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
0/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
4/[4, 10, -9.0]/[68.19859051364821, 65.76946313551514, 63.30914637883293]
2/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[2.83, 12.83, -12.0]/[77.561064239824, 87.16688822780962, 93.64737729881365]
4/[4, 10, -12.0]/[68.19859051364821, 87.06735350343983, 81.21623613932147]
2/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
1/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
3/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
5/[0, 10, -9.0]/[90.0, 65.85352803393266, 62.38491044515201]
0/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
2/[-2.83, 12.83, -12.0]/[102.438935760176, 87.16688822780962, 93.64737729881365]
4/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
1/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
3/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
5/[0, 10, -12.0]/[90.0, 87.22937300022821, 80.38314334918212]
5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
5/[2.83, 12.83, -9.0]/[77.561064239824, 66.96468639421255, 76.53479387112577]
